rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,cptac_train_n,cptac_train_events,cptac_cox_z,cptac_cox_p,meta_cox_z,meta_cox_p,direction
1,ENSG00000080561.14,91,50,9.01848452021291,1.9070914504093375e-19,87,70,1.7876185289571425,0.07383757400332205,7.641068744268773,2.1542599690816647e-14,higher_expr_higher_risk
2,ENSG00000286014.1,91,50,0.0,1.0,87,70,9.165151389741709,4.9477476229090483e-20,6.480740698287672,9.127341806560547e-11,higher_expr_higher_risk
3,ENSG00000197123.9,91,50,5.168073125439129,2.3651977440643953e-07,87,70,1.7841825881044249,0.07439400067264745,4.915987159589567,8.833618773570684e-07,higher_expr_higher_risk
4,ENSG00000137807.16,91,50,4.924563554920301,8.454884689878282e-07,87,70,1.9625198192124742,0.049701995479897426,4.869903356446414,1.1165284400493099e-06,higher_expr_higher_risk
5,ENSG00000135480.16,91,50,3.2047086877034454,0.0013519924079140756,87,70,3.6533827292707466,0.00025880801856826023,4.849402946939709,1.2383363975139585e-06,higher_expr_higher_risk
6,ENSG00000118491.10,91,50,5.754423712364502,8.693785336243141e-09,87,70,1.0688738533386688,0.28512651511878073,4.824799978762374,1.4014384064715098e-06,higher_expr_higher_risk
7,ENSG00000155495.9,91,50,5.000394113459956,5.721324253134174e-07,87,70,1.7530718210624288,0.07958967974816812,4.775421558813123,1.7933118455903357e-06,higher_expr_higher_risk
8,ENSG00000149948.14,91,50,3.9577318919919557,7.566481774265225e-05,87,70,2.6080709883058866,0.009105406907519122,4.6427237405927695,3.438459667594572e-06,higher_expr_higher_risk
9,ENSG00000275969.2,91,50,6.557448151677464,5.473633211142541e-11,87,70,2.1729139019045153e-10,0.9999999998266266,4.636816055483975,3.5381701456049012e-06,higher_expr_higher_risk
10,ENSG00000117501.14,91,50,4.857251719883374,1.1902624113714008e-06,87,70,1.432169478469864,0.15209532435333273,4.447292379093996,8.695944057424261e-06,higher_expr_higher_risk
11,ENSG00000080986.13,91,50,3.4152245715677267,0.0006372944513422978,87,70,2.788633332358472,0.005293095448062235,4.386789993383976,1.150357602024016e-05,higher_expr_higher_risk
12,ENSG00000109814.12,91,50,2.4002592172801314,0.016383465361553474,87,70,3.688669688987003,0.00022542965568241098,4.305522919784279,1.6659174021181333e-05,higher_expr_higher_risk
13,ENSG00000163689.20,91,50,3.130417679234808,0.0017455791589013768,87,70,2.915699110841022,0.0035489257636259273,4.2752501821084605,1.9092277734048287e-05,higher_expr_higher_risk
14,ENSG00000131747.15,91,50,3.9364758548673557,8.268693544234361e-05,87,70,2.0600276146367413,0.039395900958047125,4.240168266695006,2.2335229348462265e-05,higher_expr_higher_risk
15,ENSG00000174564.13,91,50,4.048054440108369,5.1645135696159724e-05,87,70,1.855811444638487,0.06348043872220631,4.174663602320417,2.984266957785379e-05,higher_expr_higher_risk
16,ENSG00000137936.18,91,50,3.053592347171516,0.0022611911507801645,87,70,2.84656851845435,0.004419321757170968,4.17204375817554,3.018796427925098e-05,higher_expr_higher_risk
17,ENSG00000166226.13,91,50,2.8449944050794276,0.004441220314786497,87,70,2.9962316553396917,0.0027333869639652297,4.130370557765941,3.621789760282953e-05,higher_expr_higher_risk
18,ENSG00000115107.20,91,50,3.6575861944392565,0.0002546016532598728,87,70,2.1532724285147538,0.03129727433821995,4.1088975368071035,3.975524000185842e-05,higher_expr_higher_risk
19,ENSG00000145681.11,91,50,1.13923218592212,0.2546063244406755,87,70,4.621035226902421,3.818299276660709e-06,4.073124149056123,4.638668168664889e-05,higher_expr_higher_risk
20,ENSG00000204428.12,91,50,-3.0750999297780632,0.0021043203479957535,87,70,-2.6792195313621896,0.007379399509619883,-4.068918312085993,4.7231901788344616e-05,higher_expr_lower_risk
21,ENSG00000079739.17,91,50,3.7330906428963355,0.00018914448783978897,87,70,2.0164620140158487,0.04375168648237999,4.0655476724917365,4.791979731318478e-05,higher_expr_higher_risk
