rank,gene_id
1,ENSG00000110484.7
2,ENSG00000124935.4
3,ENSG00000159763.4
4,ENSG00000160182.3
5,ENSG00000143556.9
6,ENSG00000153002.12
7,ENSG00000012223.13
8,ENSG00000178372.8
9,ENSG00000166509.12
10,ENSG00000160180.15
11,ENSG00000173467.9
12,ENSG00000172551.11
13,ENSG00000181617.6
14,ENSG00000163220.11
15,ENSG00000106541.12
16,ENSG00000164128.7
17,ENSG00000186847.6
18,ENSG00000086548.9
19,ENSG00000143546.10
20,ENSG00000186160.5
21,ENSG00000186081.12
22,ENSG00000163993.7
23,ENSG00000094755.17
24,ENSG00000124107.5
25,ENSG00000128422.17
26,ENSG00000138696.11
27,ENSG00000151892.15
28,ENSG00000205426.10
29,ENSG00000124939.6
30,ENSG00000170323.9
31,ENSG00000101443.18
32,ENSG00000104332.12
33,ENSG00000189058.9
34,ENSG00000134240.12
35,ENSG00000145824.13
36,ENSG00000242265.6
37,ENSG00000175356.14
38,ENSG00000131771.14
39,ENSG00000171428.15
40,ENSG00000091831.24
41,ENSG00000100867.15
42,ENSG00000159212.13
43,ENSG00000132465.12
44,ENSG00000133169.6
45,ENSG00000186832.9
46,ENSG00000113739.10
47,ENSG00000166426.8
48,ENSG00000189377.9
49,ENSG00000185479.6
50,ENSG00000156234.7
51,ENSG00000134258.17
52,ENSG00000003989.18
53,ENSG00000161634.12
54,ENSG00000109321.11
55,ENSG00000170099.6
56,ENSG00000173432.12
57,ENSG00000172724.12
58,ENSG00000162989.5
59,ENSG00000129514.8
60,ENSG00000171346.16
61,ENSG00000100362.13
62,ENSG00000141750.7
63,ENSG00000008196.13
64,ENSG00000074410.14
65,ENSG00000105388.16
66,ENSG00000134827.8
67,ENSG00000101210.13
68,ENSG00000138755.6
69,ENSG00000156689.7
70,ENSG00000184564.11
71,ENSG00000204385.13
72,ENSG00000186377.8
73,ENSG00000096006.12
74,ENSG00000137673.9
75,ENSG00000167754.13
76,ENSG00000124664.11
77,ENSG00000170373.8
78,ENSG00000162482.5
79,ENSG00000185686.18
80,ENSG00000117472.10
81,ENSG00000124102.5
82,ENSG00000157303.11
83,ENSG00000111341.10
84,ENSG00000069535.14
85,ENSG00000188488.14
86,ENSG00000198650.11
87,ENSG00000196611.5
88,ENSG00000160862.13
