gene_id,gene_symbol,source
ENSG00000183044.12,ABAT,gyorffy_survival
ENSG00000124574.15,ABCC10,gyorffy_survival
ENSG00000125257.16,ABCC4,gyorffy_survival
ENSG00000072778.20,ACADVL,gyorffy_survival
ENSG00000112304.11,ACOT13,gyorffy_survival
ENSG00000097021.20,ACOT7,gyorffy_survival
ENSG00000123130.17,ACOT9,gyorffy_survival
ENSG00000168306.13,ACOX2,gyorffy_survival
ENSG00000167107.13,ACSF2,gyorffy_survival
ENSG00000107796.13,ACTA2,literature_pan_cancer
ENSG00000075624.17,ACTB,literature_oncotype_dx
ENSG00000133627.18,ACTR3B,gyorffy_survival
ENSG00000170634.13,ACYP2,gyorffy_survival
ENSG00000151694.14,ADAM17,gyorffy_survival
ENSG00000134028.14,ADAMDEC1,gyorffy_survival
ENSG00000065457.10,ADAT1,gyorffy_survival
ENSG00000164742.16,ADCY1,gyorffy_survival
ENSG00000174233.11,ADCY6,gyorffy_survival
ENSG00000121281.13,ADCY7,gyorffy_survival
ENSG00000162104.10,ADCY9,gyorffy_survival
ENSG00000148926.10,ADM,gyorffy_survival
ENSG00000159322.17,ADPGK,gyorffy_survival
ENSG00000072364.13,AFF4,gyorffy_survival
ENSG00000135049.16,AGTPBP1,gyorffy_survival
ENSG00000185567.7,AHNAK2,gyorffy_survival
ENSG00000163568.15,AIM2,gyorffy_survival
ENSG00000106305.10,AIMP2,gyorffy_survival
ENSG00000072210.19,ALDH3A2,gyorffy_survival
ENSG00000149925.22,ALDOA,literature_pan_cancer
ENSG00000152766.6,ANKRD22,gyorffy_survival
ENSG00000151458.12,ANKRD50,gyorffy_survival
ENSG00000011426.11,ANLN,literature_pam50
ENSG00000143401.15,ANP32E,gyorffy_survival
ENSG00000143412.10,ANXA9,gyorffy_survival
ENSG00000072958.9,AP1M1,gyorffy_survival
ENSG00000138613.14,APH1B,gyorffy_survival
ENSG00000179750.16,APOBEC3B,gyorffy_survival
ENSG00000130208.9,APOC1,gyorffy_survival
ENSG00000109321.11,AREG,gyorffy_survival
ENSG00000134287.10,ARF3,gyorffy_survival
