rank,gene_id,fdr_q
1,ENSG00000162399.9,1.6820649262589905e-13
2,ENSG00000249104.3,4.561421943983669e-13
3,ENSG00000242389.8,3.906633603633434e-12
4,ENSG00000090402.8,1.0611074977839411e-11
5,ENSG00000267978.5,1.1302290160673522e-10
6,ENSG00000121871.4,6.546630330599752e-10
7,ENSG00000238074.5,6.546630330599752e-10
8,ENSG00000169800.14,6.546630330599752e-10
9,ENSG00000223569.8,1.0270714590881824e-09
10,ENSG00000283205.1,1.0270714590881824e-09
11,ENSG00000165762.3,5.708873817050376e-06
12,ENSG00000124449.7,6.035499743666618e-06
13,ENSG00000154342.6,2.668749723166144e-05
14,ENSG00000243207.6,5.116981920615587e-05
15,ENSG00000258992.7,5.5369755341636716e-05
16,ENSG00000187416.12,8.964439914331474e-05
17,ENSG00000275163.1,0.00018875899957623908
18,ENSG00000170255.7,0.00021100388551341831
19,ENSG00000204246.3,0.0005520194995940432
20,ENSG00000197786.3,0.0005520194995940432
21,ENSG00000196431.4,0.0006432684300770703
22,ENSG00000177992.10,0.000975183222441398
23,ENSG00000164651.17,0.0011669887935209066
24,ENSG00000237700.2,0.001488084309980202
25,ENSG00000170835.16,0.001488084309980202
26,ENSG00000196805.7,0.0017899586118214478
27,ENSG00000178997.11,0.0019721608300844345
28,ENSG00000244362.3,0.0020159529232520535
29,ENSG00000151033.10,0.0024238642319583956
30,ENSG00000287585.1,0.0028134164818358286
31,ENSG00000197584.12,0.002898701121798927
32,ENSG00000147509.14,0.0033168277962584035
33,ENSG00000186965.5,0.004135518946431775
34,ENSG00000186886.8,0.004285996343315453
35,ENSG00000089116.4,0.004422521456091328
36,ENSG00000161905.13,0.0051311533104036015
37,ENSG00000197016.12,0.005240305901483997
38,ENSG00000110243.12,0.005288023978200256
39,ENSG00000204702.5,0.005796392180396588
40,ENSG00000169327.5,0.0060641061691114545
41,ENSG00000131737.5,0.0060641061691114545
42,ENSG00000182759.4,0.006146654268593846
43,ENSG00000176246.1,0.0064337293446328665
44,ENSG00000205126.2,0.007225225088000022
45,ENSG00000268089.3,0.007253069618050904
46,ENSG00000270601.4,0.008669629443523263
47,ENSG00000185823.5,0.008919507253190845
48,ENSG00000145384.4,0.013945854516963367
49,ENSG00000164744.13,0.015977294449666612
50,ENSG00000186113.1,0.016001647028505626
51,ENSG00000188784.4,0.016917579877217537
52,ENSG00000204710.2,0.01803861579520089
53,ENSG00000187268.12,0.019346520246530344
54,ENSG00000196131.6,0.020932218922363362
55,ENSG00000141934.10,0.02163881399252986
56,ENSG00000106648.14,0.021780032934684196
57,ENSG00000121022.14,0.02663548200594595
58,ENSG00000181135.16,0.02696928212248565
59,ENSG00000166145.14,0.02696928212248565
60,ENSG00000171201.12,0.02820255737328048
61,ENSG00000124490.14,0.02851622893972268
62,ENSG00000172350.10,0.02969884023745771
63,ENSG00000185803.12,0.03111944265848324
64,ENSG00000133742.14,0.03111944265848324
65,ENSG00000185926.1,0.03470860409698115
66,ENSG00000274391.5,0.03470860409698115
67,ENSG00000283428.1,0.03632703972714922
68,ENSG00000155918.8,0.03632703972714922
69,ENSG00000168234.13,0.038092083941425256
70,ENSG00000261667.1,0.041457629633740445
71,ENSG00000277758.5,0.044486205428237904
72,ENSG00000181885.18,0.044486205428237904
73,ENSG00000165644.11,0.046016481614669286
74,ENSG00000108984.15,0.046222923436635165
75,ENSG00000163412.13,0.048628857676631096
76,ENSG00000182450.13,0.048628857676631096
77,ENSG00000215115.6,0.048628857676631096
78,ENSG00000113594.10,0.05251420234922017
79,ENSG00000272916.5,0.05251420234922017
80,ENSG00000244057.4,0.052718288931261556
81,ENSG00000196867.8,0.05286679552817577
82,ENSG00000120937.9,0.0534062428394538
83,ENSG00000240432.3,0.05577310968578286
84,ENSG00000163659.13,0.05702578162641937
85,ENSG00000140506.17,0.05930877774614554
86,ENSG00000235173.7,0.061849398965500894
87,ENSG00000184343.11,0.061849398965500894
88,ENSG00000180433.5,0.061849398965500894
89,ENSG00000146147.15,0.06268457331067298
90,ENSG00000147799.11,0.07073849208389564
91,ENSG00000203933.3,0.07073849208389564
92,ENSG00000175097.8,0.07073849208389564
93,ENSG00000091583.11,0.07073849208389564
94,ENSG00000275553.4,0.07073849208389564
95,ENSG00000115884.11,0.07073849208389564
96,ENSG00000178498.16,0.07073849208389564
97,ENSG00000205649.9,0.07190331012112122
98,ENSG00000182325.11,0.07417480355827068
99,ENSG00000204505.4,0.07468325949669373
100,ENSG00000130193.8,0.07469454032428995
101,ENSG00000283439.4,0.07501799734128192
102,ENSG00000179950.14,0.07742534480564976
103,ENSG00000186326.4,0.07752474452929607
104,ENSG00000160349.10,0.07795431100816169
105,ENSG00000136986.10,0.07969606429723933
106,ENSG00000206107.2,0.07998112642518702
107,ENSG00000148335.15,0.0846559071424424
108,ENSG00000178814.17,0.09127121765734648
109,ENSG00000170619.10,0.09127121765734648
110,ENSG00000146378.6,0.09331869654078362
111,ENSG00000121351.8,0.0948112318501568
112,ENSG00000160948.14,0.0954825985146853
113,ENSG00000216588.9,0.09551176384768213
114,ENSG00000161133.16,0.09551176384768213
115,ENSG00000286175.1,0.09551176384768213
116,ENSG00000148942.15,0.09761040782966778
117,ENSG00000197487.9,0.09880566070227174
118,ENSG00000095739.11,0.09884219576141902
119,ENSG00000104412.8,0.0989490773733215
120,ENSG00000179526.17,0.0989490773733215
121,ENSG00000178522.14,0.09985541188121287
