rank,gene_id
1,ENSG00000162399.9
2,ENSG00000249104.3
3,ENSG00000242389.8
4,ENSG00000090402.8
5,ENSG00000267978.5
6,ENSG00000121871.4
7,ENSG00000238074.5
8,ENSG00000169800.14
9,ENSG00000223569.8
10,ENSG00000283205.1
11,ENSG00000165762.3
12,ENSG00000124449.7
13,ENSG00000154342.6
14,ENSG00000243207.6
15,ENSG00000258992.7
16,ENSG00000187416.12
17,ENSG00000275163.1
18,ENSG00000170255.7
19,ENSG00000204246.3
20,ENSG00000197786.3
21,ENSG00000196431.4
22,ENSG00000177992.10
23,ENSG00000164651.17
24,ENSG00000237700.2
25,ENSG00000170835.16
26,ENSG00000196805.7
27,ENSG00000178997.11
28,ENSG00000244362.3
29,ENSG00000151033.10
30,ENSG00000287585.1
31,ENSG00000197584.12
32,ENSG00000147509.14
33,ENSG00000186965.5
34,ENSG00000186886.8
35,ENSG00000089116.4
36,ENSG00000161905.13
37,ENSG00000197016.12
38,ENSG00000110243.12
39,ENSG00000204702.5
40,ENSG00000169327.5
41,ENSG00000131737.5
42,ENSG00000182759.4
43,ENSG00000176246.1
44,ENSG00000205126.2
45,ENSG00000268089.3
46,ENSG00000270601.4
47,ENSG00000185823.5
48,ENSG00000145384.4
49,ENSG00000164744.13
50,ENSG00000186113.1
51,ENSG00000188784.4
52,ENSG00000204710.2
53,ENSG00000187268.12
54,ENSG00000196131.6
55,ENSG00000141934.10
56,ENSG00000106648.14
57,ENSG00000121022.14
58,ENSG00000181135.16
59,ENSG00000166145.14
60,ENSG00000171201.12
61,ENSG00000124490.14
62,ENSG00000172350.10
63,ENSG00000185803.12
64,ENSG00000133742.14
65,ENSG00000185926.1
66,ENSG00000274391.5
67,ENSG00000283428.1
68,ENSG00000155918.8
69,ENSG00000168234.13
70,ENSG00000261667.1
71,ENSG00000277758.5
72,ENSG00000181885.18
73,ENSG00000165644.11
74,ENSG00000108984.15
75,ENSG00000163412.13
76,ENSG00000182450.13
77,ENSG00000215115.6
78,ENSG00000113594.10
79,ENSG00000272916.5
80,ENSG00000244057.4
81,ENSG00000196867.8
82,ENSG00000120937.9
83,ENSG00000240432.3
84,ENSG00000163659.13
85,ENSG00000140506.17
86,ENSG00000235173.7
87,ENSG00000184343.11
88,ENSG00000180433.5
89,ENSG00000146147.15
90,ENSG00000147799.11
91,ENSG00000203933.3
92,ENSG00000175097.8
93,ENSG00000091583.11
94,ENSG00000275553.4
95,ENSG00000115884.11
96,ENSG00000178498.16
97,ENSG00000205649.9
98,ENSG00000182325.11
99,ENSG00000204505.4
100,ENSG00000130193.8
101,ENSG00000283439.4
102,ENSG00000179950.14
103,ENSG00000186326.4
104,ENSG00000160349.10
105,ENSG00000136986.10
106,ENSG00000206107.2
107,ENSG00000148335.15
108,ENSG00000178814.17
109,ENSG00000170619.10
110,ENSG00000146378.6
111,ENSG00000121351.8
112,ENSG00000160948.14
113,ENSG00000216588.9
114,ENSG00000161133.16
115,ENSG00000286175.1
116,ENSG00000148942.15
117,ENSG00000197487.9
118,ENSG00000095739.11
119,ENSG00000104412.8
120,ENSG00000179526.17
121,ENSG00000178522.14
122,ENSG00000205186.4
123,ENSG00000172000.7
124,ENSG00000197050.11
125,ENSG00000006047.13
126,ENSG00000167080.9
127,ENSG00000101773.19
128,ENSG00000111752.11
129,ENSG00000179615.3
130,ENSG00000018869.17
131,ENSG00000099399.6
132,ENSG00000103485.19
133,ENSG00000187954.13
134,ENSG00000175606.11
135,ENSG00000263715.7
136,ENSG00000138443.17
137,ENSG00000135723.14
138,ENSG00000140057.9
139,ENSG00000111790.14
140,ENSG00000006118.15
141,ENSG00000175398.2
142,ENSG00000269058.6
143,ENSG00000242366.3
144,ENSG00000179388.9
145,ENSG00000152078.10
146,ENSG00000127483.19
147,ENSG00000138821.13
148,ENSG00000159882.13
149,ENSG00000188580.15
150,ENSG00000160949.17
151,ENSG00000184489.12
152,ENSG00000177380.14
153,ENSG00000184502.4
154,ENSG00000188883.5
155,ENSG00000154582.17
156,ENSG00000104522.16
157,ENSG00000110108.10
158,ENSG00000148248.14
159,ENSG00000112852.7
160,ENSG00000152818.18
161,ENSG00000090612.22
162,ENSG00000117054.14
163,ENSG00000102390.11
164,ENSG00000156110.15
165,ENSG00000100722.20
166,ENSG00000099800.8
167,ENSG00000125864.14
168,ENSG00000180999.11
169,ENSG00000004961.15
170,ENSG00000103540.16
171,ENSG00000076554.15
172,ENSG00000285991.1
173,ENSG00000268606.5
174,ENSG00000110057.8
175,ENSG00000148377.6
176,ENSG00000103460.17
177,ENSG00000284505.1
178,ENSG00000064393.16
179,ENSG00000175928.6
180,ENSG00000198160.15
181,ENSG00000070018.9
182,ENSG00000136830.12
183,ENSG00000130054.5
184,ENSG00000125775.15
185,ENSG00000162373.13
186,ENSG00000128564.7
187,ENSG00000250571.7
188,ENSG00000151376.17
189,ENSG00000196150.14
190,ENSG00000176925.8
191,ENSG00000177476.3
192,ENSG00000014164.7
193,ENSG00000126814.7
194,ENSG00000185272.14
195,ENSG00000198440.9
196,ENSG00000267368.1
197,ENSG00000101220.18
198,ENSG00000179632.10
199,ENSG00000124588.21
200,ENSG00000143217.9
201,ENSG00000115896.16
202,ENSG00000142185.16
203,ENSG00000153094.24
204,ENSG00000181958.5
205,ENSG00000171557.17
206,ENSG00000131015.5
207,ENSG00000231861.2
208,ENSG00000111554.14
209,ENSG00000232113.3
210,ENSG00000189051.5
211,ENSG00000205330.4
212,ENSG00000187689.10
213,ENSG00000178896.9
214,ENSG00000167632.18
215,ENSG00000121741.16
216,ENSG00000134590.14
217,ENSG00000185269.12
218,ENSG00000090674.16
219,ENSG00000075303.13
220,ENSG00000262152.7
221,ENSG00000232030.3
222,ENSG00000197249.14
223,ENSG00000197921.6
224,ENSG00000196911.11
225,ENSG00000136816.16
226,ENSG00000186806.5
227,ENSG00000064115.11
228,ENSG00000184162.15
229,ENSG00000178718.7
230,ENSG00000135549.15
231,ENSG00000144677.15
232,ENSG00000182346.20
233,ENSG00000281613.2
234,ENSG00000257115.1
235,ENSG00000184428.13
236,ENSG00000167822.3
237,ENSG00000113196.3
238,ENSG00000168116.14
239,ENSG00000135222.6
240,ENSG00000261236.8
241,ENSG00000151065.14
242,ENSG00000185122.11
243,ENSG00000182870.13
244,ENSG00000159885.14
245,ENSG00000213516.10
246,ENSG00000105825.14
247,ENSG00000167157.11
248,ENSG00000101986.12
249,ENSG00000163602.11
250,ENSG00000172023.8
251,ENSG00000142698.15
252,ENSG00000170950.6
253,ENSG00000189042.13
254,ENSG00000104524.14
255,ENSG00000143278.5
256,ENSG00000105438.9
257,ENSG00000169427.8
258,ENSG00000185000.12
259,ENSG00000104886.12
260,ENSG00000167034.10
261,ENSG00000158710.15
262,ENSG00000167657.14
263,ENSG00000263353.3
264,ENSG00000122140.11
265,ENSG00000077254.14
266,ENSG00000168014.17
267,ENSG00000115233.12
268,ENSG00000147813.16
269,ENSG00000162623.16
270,ENSG00000147100.11
271,ENSG00000101182.15
272,ENSG00000186272.13
273,ENSG00000147684.10
274,ENSG00000071894.17
275,ENSG00000081019.13
276,ENSG00000239887.6
277,ENSG00000234829.4
278,ENSG00000183032.12
279,ENSG00000253159.3
280,ENSG00000100401.20
281,ENSG00000188340.2
282,ENSG00000096006.12
283,ENSG00000104325.7
284,ENSG00000198929.13
285,ENSG00000168778.12
286,ENSG00000165280.17
287,ENSG00000153904.21
288,ENSG00000090932.11
289,ENSG00000125817.8
290,ENSG00000204839.9
291,ENSG00000178719.17
292,ENSG00000033867.16
293,ENSG00000080298.15
294,ENSG00000189376.12
295,ENSG00000196224.7
296,ENSG00000051180.17
297,ENSG00000112200.17
298,ENSG00000179091.5
299,ENSG00000131115.16
300,ENSG00000135974.10
301,ENSG00000147586.10
302,ENSG00000269586.7
303,ENSG00000188785.12
304,ENSG00000173801.17
305,ENSG00000275674.1
306,ENSG00000129354.12
307,ENSG00000213762.12
308,ENSG00000120963.12
309,ENSG00000166801.16
310,ENSG00000140795.13
311,ENSG00000136319.12
312,ENSG00000101181.17
313,ENSG00000115286.20
314,ENSG00000105447.13
315,ENSG00000123989.14
316,ENSG00000146425.11
317,ENSG00000137857.17
318,ENSG00000106688.12
319,ENSG00000014216.16
320,ENSG00000197363.9
321,ENSG00000108433.17
322,ENSG00000135924.16
323,ENSG00000101255.11
324,ENSG00000172172.8
325,ENSG00000006744.19
