case_id,hist_0,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,hist_9,n_patches
C3L-00017,0.0,0.19525302283922974,0.0,0.8034034930586654,0.0,0.0,0.0,0.0,0.00019903468179330248,0.0011444494203114892,20097
C3L-00102,0.0,0.487498546342598,0.16187928828933598,0.0,0.06558902197929992,0.0006977555529712757,0.00011629259216187928,0.0,0.2608442842190952,0.023374811024537735,8599
C3L-00189,0.000142025280499929,0.3128106803010936,0.010793921317994603,0.0,0.0436017611134782,0.0,0.1178099701746911,0.0019883539269990058,0.4014344553330493,0.11141883255219429,14082
C3L-00277,0.0,0.3936568147094463,0.0,0.6039723934460777,0.002370791844476055,0.0,0.0,0.0,0.0,0.0,18981
C3L-00395,0.0,0.11927563990945499,0.0,0.8169946021243253,0.00034825004353125546,0.0,0.0,0.0,0.0558941319867665,0.007487375935921992,5743
C3L-00401,0.0,0.07233762434172031,0.0,0.9114248098303102,0.010020479812755998,0.0,0.0,0.0,0.002047981275599766,0.004169104739613809,13672
C3L-00589,0.0,0.5487021013597033,0.0012360939431396785,0.0,0.02533992583436341,0.0,0.0,0.015698393077873917,0.27367119901112485,0.13535228677379482,8090
C3L-00598,0.0,0.5457065906210393,0.0008713561470215463,0.39749683143219267,0.00039607097591888465,0.0,0.0,0.00015842839036755386,0.03802281368821293,0.017347908745247147,12624
C3L-00599,0.00014536996656490768,0.15772641372292484,0.0036342491641226924,0.7589765954353831,0.061200755923826136,0.0,0.0,0.00029073993312981537,0.013374036923971508,0.004651838930077046,6879
C3L-00622,9.475080538184574e-05,0.06386204282736403,0.2355505021792685,0.0,0.06499905249194618,0.00018950161076369148,0.0024635209399279895,0.0,0.030320257722190637,0.6025203714231571,10554
C3L-00625,0.00038141734686093526,0.20993210771225876,0.1683576169044168,0.0,0.07857197345335266,0.0,0.0004577008162331223,7.628346937218705e-05,0.3261881150354718,0.2160347852620337,13109
C3L-00640,0.0,0.10625202461937155,0.0,0.8828420256991686,0.0,0.0,0.0,0.0,0.0008638375985314761,0.01004211208292841,9261
C3L-00819,0.0,0.2477997799779978,0.01595159515951595,0.0,0.07439493949394939,0.0001375137513751375,0.0,0.000275027502750275,0.6098734873487349,0.05156765676567657,7272
C3L-00881,0.0050704225352112674,0.11417840375586855,0.06985915492957746,0.0,0.11849765258215962,0.0005633802816901409,0.20873239436619717,0.0,0.0003755868544600939,0.4827230046948357,10650
C3L-00885,0.0,0.3887571157495256,0.005218216318785579,0.0,0.017789373814041744,0.0,0.0,0.0,0.0010673624288425048,0.5871679316888045,8432
C3L-00928,0.0,0.17430600387346676,0.04217774908543146,0.0,0.023240800516462233,0.0,0.03981063051431031,0.0,0.7010974822466107,0.019367333763718526,4647
C3L-01031,0.0018815052041633307,0.2745796637309848,0.017173738991192955,0.0,0.09831865492393915,0.0,0.28919135308246596,0.0003202562049639712,0.30396317053642913,0.01457165732586069,24980
C3L-01032,0.0,0.3208846234091383,0.06478197371166285,0.0,0.030878364281243482,0.00010431879824744419,0.08241185061548091,0.0006259127894846651,0.4452326309200918,0.055080325474650534,9586
C3L-01036,0.4651552704475871,0.14761627059338095,0.0110803324099723,0.0,0.02048403557369879,0.0,0.000583175389998542,0.0,0.3153520921417116,0.039728823443650675,13718
C3L-01037,0.0,0.17744850018070113,0.09906436975464804,0.0,0.0491908605388909,0.00020077902260771794,0.38031562462353935,0.0,0.28105047584628357,0.012729390033329317,24903
C3L-01051,0.0,0.2686720218766023,0.1989403520765681,0.0,0.03683131088702786,8.545547769612032e-05,0.0681080157238079,0.0,0.4224918817296189,0.004870962228678858,11702
C3L-01052,0.00023441162681669012,0.40191547786484494,0.28601567209162143,0.0,0.030004688232536336,0.0003013863773357444,0.14423012524278347,0.0,0.12621391735315787,0.011084321210903489,29862
C3L-01053,0.0,0.31532980923925535,0.14295564238106181,0.0,0.051099364130851144,0.00015322148165172758,0.0924691641768176,0.0,0.3960775300697158,0.0019152685206465945,13053
C3L-01054,0.0,0.32185565771287783,0.09777056667267592,0.0,0.04158403942070789,0.0001802776275464215,0.10396009855176973,0.0,0.4276185325401118,0.007030827474310438,16641
C3L-01124,0.0,0.41276511918051084,0.015628078009061658,0.0,0.02396743056011557,0.0003283209665769256,0.17072690262000131,0.00019699257994615536,0.37218464771160287,0.0042025083721846474,15229
C3L-01158,0.0,0.3799121522693997,0.16462664714494876,0.0,0.03988286969253294,0.0001171303074670571,0.055988286969253294,0.0,0.3574231332357247,0.0020497803806734994,17075
C3L-01160,0.0,0.2866414583215757,0.04808397765110898,0.0,0.06298323833173429,0.0,0.13510920480839778,0.003668378576669112,0.45866019527061347,0.004853547039900672,17719
C3L-01328,0.0,0.27139016289735884,0.0,0.0,0.024355527439506565,0.0,0.0,0.0,0.0,0.7042543096631346,6323
C3L-01453,0.0,0.5322642967542504,0.0,0.0,0.0018353941267387943,9.659969088098918e-05,0.0,0.0,0.0004829984544049459,0.4653207109737249,10352
C3L-01598,0.0,0.2625250501002004,0.006412825651302605,0.0004008016032064128,0.03246492985971944,0.0,0.07254509018036072,0.0008016032064128256,0.36192384769539077,0.2629258517034068,2495
C3L-01637,0.0,0.1713998492083438,0.15481276702689117,0.0,0.17014325207338526,0.0,0.013068610203568736,0.0035184719778838906,0.3963307363659211,0.09072631314400603,3979
C3L-01662,0.0,0.4629395395901847,0.18112825701998483,0.0,0.02441183910953706,0.0003794586390083481,0.00025297242600556537,0.0102453832532254,0.21540602074373894,0.10523652921831521,7906
C3L-01687,0.0,0.4871873248764583,0.01625146466962148,0.0,0.06515869376942279,5.0945030312293034e-05,0.0,0.0,0.23572265525497987,0.19562891639920527,19629
C3L-01689,0.0,0.33680408986445287,0.00023451057642699685,0.0,0.003330050185263355,0.0005159232681393931,0.0,0.0,0.30040804840298296,0.3587073777027344,21321
C3L-01702,0.0,0.9787314034051238,0.0,0.0,0.0,0.0007519200816370374,0.0,0.0,0.0006982115043772491,0.019818465008861915,18619
C3L-01703,0.0,0.38571846649107405,0.0,0.0,0.001560823334308848,9.7551458394303e-05,0.0,0.0,0.4004487367086138,0.21217442200760903,10251
C3L-01971,0.004724017901541522,0.45450024863252114,0.07483838886126305,0.0,0.21929388363998012,0.0,0.019393336648433616,0.009696668324216808,0.0,0.21755345599204376,4022
C3L-02109,0.0,0.08885448916408668,0.0,0.0,0.0006191950464396285,0.0,0.0,0.0,0.43018575851393187,0.4803405572755418,6460
C3L-02112,0.00014494854326714017,0.5432671401652414,0.00014494854326714017,0.0,0.04638353384548485,0.0,0.0,0.0005797941730685607,0.08247572111900275,0.3270039136106682,6899
C3L-02115,0.0005851375073142189,0.272461301133039,0.39635086972711314,0.0,0.07468482366083302,0.0011702750146284377,0.01484121495824246,0.0,0.005479014841214958,0.23442736315761475,18799
C3L-02116,0.0009192584648383637,0.17772330320208365,0.08411214953271028,0.0,0.07093611153669373,0.00015320974413972729,0.1616362800674123,0.0,0.28052704151984065,0.2239926459322813,6527
C3L-02118,0.0,0.26292431330214705,0.018471872376154493,0.0,0.008636200071968334,0.0,0.0026388389108792133,0.0,0.2340170325056975,0.4733117428331534,8337
C3L-02463,0.0002625705658395694,0.533543389786005,0.003938558487593541,0.0,0.007745831692267297,0.0023631350925561244,0.0,0.0,0.0,0.4521465143757385,7617
C3L-02604,0.0,0.09984984984984985,0.0,0.0,0.01126126126126126,0.0,0.0,0.0,0.8761261261261262,0.012762762762762763,1332
C3L-02606,0.0002910078572121447,0.11009797264526142,0.0247356678630323,0.0,0.0240566495295373,0.0,0.00019400523814142983,0.0023280628576971578,0.2095256571927442,0.6287709768163741,10309
C3L-02610,0.0,0.31797331109257715,0.042535446205170975,0.0,0.03711426188490409,0.0001042535446205171,0.014699749791492911,0.0,0.12343619683069225,0.4641367806505421,9592
C3L-02613,0.0,0.3830005777749246,0.0,0.0,0.0,6.41972138409193e-05,0.0,0.0,0.003145663478205046,0.6137895615330294,15577
C3L-02701,0.0,0.26835771061221436,0.0,0.0,0.0007724316647148232,0.0,0.0,0.0,0.0,0.7308698577230708,40133
C3L-02809,0.0,0.3362546125461255,0.00011531365313653136,0.0,0.004612546125461255,0.0062269372693726935,0.0,0.0,0.01625922509225092,0.6365313653136532,8672
C3L-02890,0.0,0.6621675267963477,0.034140531957125846,0.0001984914648670107,0.026994839221913456,0.0001984914648670107,0.0,0.0,0.004366812227074236,0.2719333068678047,10076
C3L-02897,0.0,0.3166931637519873,0.0,0.0,0.0034976152623211448,0.0,0.0,0.0,0.6772655007949125,0.0025437201907790143,3145
C3L-02899,0.0,0.2796434135364376,0.0,0.0,0.020685476891119957,8.655011251514626e-05,0.0,0.005019906525878483,0.684005539207201,0.010559113726847844,11554
C3L-03123,0.0,0.07294352491058805,0.05531065457872411,0.0,0.009149130832570906,0.0,0.026532479414455627,0.0,0.14480578890459953,0.6912584213590618,12023
C3L-03126,0.0,0.48890258939580766,0.0009247842170160296,0.0,0.012946979038224414,0.0,0.0,0.0,0.1461159062885327,0.35110974106041926,3244
C3L-03129,0.00019297568506368199,0.5010613662678503,0.10845233500578927,0.0,0.07632188344268623,0.0008683905827865689,0.0033770744886144344,0.0,0.07410266306445387,0.2356233114627557,10364
C3L-03350,0.0011513502198032238,0.28783755495080593,0.05704416998115972,0.0031400460540087923,0.033807829181494664,0.0,0.17291186937408415,0.0010466820180029307,0.4395017793594306,0.0035587188612099642,9554
C3L-03356,0.0,0.3608034083992696,0.042361533779671334,0.0,0.0714546561168594,0.005051734631771151,0.06768107121119903,0.0,0.39306147291539867,0.059586122945830794,16430
C3L-03371,0.00027323648617878776,0.08716243909103329,0.0,0.0,0.16016212031513274,0.21458172047907464,0.4132701853454165,0.0,0.12432260121134842,0.00022769707181565646,21959
C3L-03388,0.0,0.29891829244736334,0.03003670079196446,0.0,0.01419741162835619,0.0,0.3654626231408151,0.0,0.18137917712961174,0.11000579486188912,10354
C3L-03394,0.0012095554883580285,0.3813123677048685,0.04429996976111279,0.0,0.04747505291805262,0.0,0.031750831569398244,0.0,0.31902026005443,0.17493196250377985,6614
C3L-03395,0.0,0.06846406280162151,0.0,0.0,0.16755678527765266,0.3345344572421337,0.2349269673766167,0.005533749436973168,0.1790103596937134,0.00997361817128885,15541
C3L-03624,0.0002477496077297878,0.2005120158559749,0.31522008423486664,0.0,0.10388966884135767,0.005450491370055331,0.19266661161119827,0.0,0.10785366256503427,0.07415971591378313,12109
C3L-03628,0.0,0.2089391877372681,0.0,0.0,0.027505193037748014,0.0,0.0,0.0002865124274765418,0.15392880166177209,0.6093403051357352,13961
C3L-03630,0.0007544892108042855,0.16930737890448166,0.058397464916251696,0.0,0.09144409234947941,0.0,0.12750867662592424,0.0,0.11317338162064282,0.43941451637241585,6627
C3L-03632,0.0,0.10674381484437351,0.11193136472466081,0.0,0.07501995211492418,0.0,0.17498004788507582,0.0,0.04808459696727853,0.48324022346368717,5012
C3L-03635,0.0,0.08660119004946591,0.0,0.0,0.0001433794537242813,0.0,0.0,0.0005735178148971252,0.887303749372715,0.02537816330919779,13949
C3L-03639,5.958055290753098e-05,0.06381077216396568,0.10754289799809343,0.0,0.04909437559580553,5.958055290753098e-05,0.021508579599618684,0.0,0.020138226882745473,0.7377859866539561,16784
C3L-03743,0.0005505092210294523,0.14680245894118726,0.0009175153683824204,0.0,0.020919350399119185,0.3636113404899532,0.0,0.0,0.0011010184420589045,0.4660978071382696,10899
C3L-04027,2.7551245316288297e-05,0.006777606347806921,0.0,0.0,0.1753912276834913,0.8039728895746088,0.0033337006832708837,0.00551024906325766,0.004297994269340974,0.0006887811329072074,36296
C3L-04072,0.0,0.24339360222531292,0.327538247566064,0.0,0.0702364394993046,0.0,0.0,0.0,0.0,0.3588317107093185,1438
C3L-04080,0.0,0.6175893207695328,0.0,0.0,0.002944640753828033,0.0,0.0,0.0,0.2828818217510797,0.09658421672555949,5094
C3L-04473,0.0,0.05900646534086259,0.05033145101890498,0.0,0.023979049022014896,0.00040919878877158526,0.19797037400769293,0.0,0.03527293559211065,0.6330305262296424,12219
C3L-04475,0.0,0.46827265998250456,0.0,0.0,0.0008747728954982841,0.003633672027454411,0.0,6.729022273063724e-05,0.49592894152479644,0.031222663347015678,14861
C3L-04479,0.00010996261271167803,0.3627666593358258,0.13195513525401364,0.0,0.026061139212667693,0.00021992522542335605,0.302946998020673,0.0,0.030899494171981526,0.14504068616670332,9094
C3L-04495,0.0003966679888932963,0.09996033320111067,0.16501388337961126,0.0,0.08369694565648553,0.0,0.007140023800079333,0.026180087266957558,0.2689408964696549,0.34867116223720745,2521
C3L-04848,0.01400437636761488,0.137417943107221,0.0,0.0,0.07133479212253829,0.5365426695842451,0.16980306345733043,0.011378555798687089,0.022319474835886213,0.037199124726477024,2285
C3L-04853,0.004043126684636119,0.11253369272237197,0.009433962264150943,0.0,0.32816711590296493,0.38477088948787064,0.016846361185983826,0.0,0.09568733153638814,0.04851752021563342,1484
C3N-00198,0.0,0.2330357142857143,0.0,0.0,0.003203781512605042,0.0,0.0,0.0,0.7636554621848739,0.0001050420168067227,19040
C3N-00249,0.0,0.21424057299346955,0.002633242047609016,0.0,0.05561407204550242,0.0016852749104697704,0.17274067832315146,0.0049504950495049506,0.5480303349483885,0.00010532968190436065,9494
C3N-00302,0.0,0.34860098130221456,0.0,0.636706007160854,1.3260840737302746e-05,0.0014984750033152103,0.0,0.012478451133801883,0.0,0.0007028245590770455,75410
C3N-00303,1.8205651034080977e-05,0.3352934750946694,0.0,0.6558221672006991,1.8205651034080977e-05,0.0015110690358287212,0.0,0.004824497524031459,3.6411302068161955e-05,0.002475968540635013,54928
C3N-00436,0.1393294064340734,0.07023108291798821,0.0033982782057091075,0.0,0.016311735387403714,0.0,0.0,0.7512460353420933,0.0015858631626642502,0.017897598550067964,4414
C3N-00511,0.14185303514376996,0.031096911608093716,0.0008519701810436634,0.0,0.01597444089456869,0.0,0.0,0.7714589989350372,0.03578274760383387,0.002981895633652822,4695
C3N-00512,0.5428849902534113,0.043859649122807015,0.0,0.0,0.00341130604288499,0.0,0.0,0.40692007797270957,0.0029239766081871343,0.0,2052
C3N-00513,0.41901408450704225,0.047283702213279676,0.0,0.0,0.02716297786720322,0.0,0.0,0.505533199195171,0.001006036217303823,0.0,1988
C3N-00514,0.046496180670873466,0.011291929591497841,0.0,0.0,0.027897708402524077,0.0,0.0,0.9143141813351047,0.0,0.0,3011
C3N-00516,0.0,0.0420982292014701,0.0,0.0,0.0,0.0,0.0,0.9535583027063147,0.001670564650851988,0.0026729034413631807,2993
C3N-00517,0.2421673424253594,0.014006634721710284,0.0,0.0,0.003685956505713233,0.0,0.0,0.7401400663472171,0.0,0.0,2713
C3N-00518,0.0036529680365296802,0.11529680365296803,0.0,0.001141552511415525,0.0013698630136986301,0.0,0.0,0.8764840182648402,0.0,0.002054794520547945,4380
C3N-00709,0.00043318171973142733,0.3424301494476933,0.1585445094217024,0.0,0.050032488628979854,0.000649772579597141,0.18648473034437946,0.00021659085986571366,0.2111760883690708,0.050032488628979854,4617
C3N-00954,0.0,0.3229558801385334,0.0,0.0,0.010314711639813281,0.0,0.0,0.00011293479897605783,0.6666164734226773,0.0,26564
C3N-00957,0.0,0.1956667224360047,0.010122134850259328,0.0,0.02768947632591601,0.0,0.18119457922034465,0.0008365400702693659,0.5838213150409904,0.0006692320562154927,11954
C3N-01011,0.0,0.455191742429421,0.0015722195638799646,0.0,0.11627589035477476,0.0,0.004374871829926858,0.0001367147446852143,0.4224485610773122,0.0,14629
C3N-01012,0.003657793131477342,0.21621621621621623,0.004470636049583418,0.0,0.33224954277585855,0.0,0.18349928876244664,0.0877870351554562,0.1721194879089616,0.0,4921
C3N-01165,0.05336426914153132,0.27262180974477956,0.008700696055684454,0.0,0.020301624129930394,0.0,0.0,0.1919953596287703,0.0,0.45301624129930396,1724
C3N-01166,0.004338394793926247,0.23947939262472884,0.0021691973969631237,0.0,0.03644251626898048,0.0008676789587852494,0.0,0.17310195227765726,0.009978308026030369,0.5336225596529284,2305
C3N-01167,0.0,0.17804551539491298,0.0,0.0,0.000892458723784025,0.0,0.0,0.42347166443551987,0.006247211066488175,0.39134315037929496,2241
C3N-01168,0.002235136343316942,0.04023245417970496,0.0,0.0,0.005364327223960662,0.0,0.0,0.08314707197139025,0.0,0.8690210102816271,2237
C3N-01169,0.22032413491020586,0.45466491458607095,0.0346035917652212,0.0,0.024967148488830485,0.0,0.0,0.07665352606219886,0.0,0.18878668418747263,2283
C3N-01375,0.0034482758620689655,0.043448275862068966,0.0,0.0,0.005172413793103448,0.0,0.0,0.463448275862069,0.000689655172413793,0.48379310344827586,2900
C3N-01378,0.0,0.06489675516224189,0.0,0.0,0.0,0.0,0.0,0.9085545722713865,0.0004916420845624386,0.026057030481809244,2034
C3N-01379,0.04518139327843312,0.08791453371911863,0.016692632984642776,0.0,0.08947251279768528,0.0,0.0,0.1767193411974182,0.0,0.584019586022702,4493
C3N-01380,0.04908888062476757,0.031238378579397545,0.0007437709185570844,0.0,0.008181480104127928,0.0,0.0,0.8995909259947936,0.0,0.011156563778356266,2689
C3N-01381,0.035047267696564445,0.03251095227115518,0.006686649757897164,0.0,0.040811620936130964,0.0,0.0,0.0977634309430482,0.0,0.7871800783952041,4337
C3N-01382,0.19644902634593356,0.08333333333333333,0.0429553264604811,0.0,0.08132875143184422,0.0,0.0,0.07646048109965636,0.0,0.5194730813287515,3492
C3N-01383,0.0,0.039509536784741145,0.0,0.0,0.0,0.0,0.0,0.057674841053587646,0.0,0.9028156221616712,2202
C3N-01388,0.0,0.03491495076096687,0.0,0.0,0.0,0.0,0.0,0.6539838854073411,0.0008952551477170994,0.3102059086839749,2234
C3N-01389,0.0,0.14910681735326284,0.0,0.0,0.0,0.0,0.0,0.10462996718920889,0.0,0.7462632154575283,2743
C3N-01502,0.007383966244725738,0.5042194092827004,0.002109704641350211,0.0,0.08333333333333333,0.0,0.09968354430379747,0.0005274261603375527,0.3027426160337553,0.0,1896
C3N-01714,0.0,0.01567398119122257,0.0,0.0,0.0,0.0,0.0,0.9791013584117032,0.0041797283176593526,0.0010449320794148381,957
C3N-01715,0.0,0.043798306956201696,0.0,0.0,0.0,0.0,0.0,0.9536253220463746,0.0,0.002576370997423629,2717
C3N-01716,0.02147239263803681,0.05127081507449606,0.0,0.0,0.0026292725679228747,0.0,0.0,0.9246275197195443,0.0,0.0,2282
C3N-01719,0.0,0.13874558783600327,0.0,0.0,0.0,0.0,0.0,0.8612544121639968,0.0,0.0,3683
C3N-01897,0.3144884973078806,0.050416054821341164,0.0,0.0,0.0024473813020068525,0.0,0.0,0.6316691140479687,0.0009789525208027412,0.0,4086
C3N-01900,0.10255548083389375,0.01815736381977135,0.0,0.00016812373907195696,0.02219233355749832,0.0,0.0,0.8535642232683255,0.0,0.0033624747814391394,5948
