gene_symbol,category,gene_id,available,cox_rank,meta_cox_z
MSH6,dna_damage_repair_therapy,ENSG00000116062.17,True,25,4.203921719208103
MSH2,dna_damage_repair_therapy,ENSG00000095002.15,True,50,3.986977152601237
LDHA,hypoxia_metabolism_acinar_program,ENSG00000134333.14,True,92,3.776346275236564
CHEK1,dna_damage_repair_therapy,ENSG00000149554.13,True,126,3.649355642267653
LYZ,immune_inflammation_tgf_beta,ENSG00000090382.7,True,159,-3.5598089289184376
TOP2A,proliferation_cell_cycle_apoptosis,ENSG00000131747.15,True,177,3.5139582687326327
MCM4,proliferation_cell_cycle_apoptosis,ENSG00000104738.18,True,181,3.508282682537485
IL6R,immune_inflammation_tgf_beta,ENSG00000160712.13,True,197,-3.4605461640493513
SNAI2,basal_squamous_mesenchymal,ENSG00000019549.13,True,313,3.270244479186236
CD3D,immune_inflammation_tgf_beta,ENSG00000167286.10,True,382,-3.181675651746257
CCNB1,proliferation_cell_cycle_apoptosis,ENSG00000134057.15,True,406,3.1489979127276886
PCNA,proliferation_cell_cycle_apoptosis,ENSG00000132646.11,True,498,3.075882131579846
MET,stroma_ecm_invasion,ENSG00000105976.16,True,570,3.0021224782362665
MCM6,proliferation_cell_cycle_apoptosis,ENSG00000076003.5,True,634,2.945002402940006
CD3E,immune_inflammation_tgf_beta,ENSG00000198851.10,True,682,-2.9130038220688457
AURKA,proliferation_cell_cycle_apoptosis,ENSG00000087586.18,True,690,2.9097116779901846
PIK3CA,core_driver_tumor_suppressor,ENSG00000121879.6,True,802,2.826598366782949
ITGA3,stroma_ecm_invasion,ENSG00000005884.18,True,1050,2.694213236712162
PALB2,dna_damage_repair_therapy,ENSG00000083093.10,True,1053,2.6935644350431946
CDK1,proliferation_cell_cycle_apoptosis,ENSG00000170312.16,True,1139,2.6536771762231726
BRCA1,dna_damage_repair_therapy,ENSG00000012048.23,True,1217,2.6170110352457487
ITGB1,stroma_ecm_invasion,ENSG00000150093.20,True,1227,2.610135981124359
ENO1,hypoxia_metabolism_acinar_program,ENSG00000074800.16,True,1307,2.5731348959322022
TGFB2,immune_inflammation_tgf_beta,ENSG00000092969.12,True,1431,2.515931118620614
CTLA4,immune_inflammation_tgf_beta,ENSG00000163599.17,True,1446,-2.507267929828197
BCL2,proliferation_cell_cycle_apoptosis,ENSG00000171791.14,True,1469,-2.498238474466609
PDX1,classical_pancreatic_progenitor,ENSG00000139515.6,True,1478,-2.4931088707498015
FOXP3,immune_inflammation_tgf_beta,ENSG00000049768.16,True,1605,-2.4449433151091884
GATA6,classical_pancreatic_progenitor,ENSG00000141448.11,True,1630,-2.4373962916977137
VEGFA,hypoxia_metabolism_acinar_program,ENSG00000112715.25,True,1639,2.434093194883906
CLDN18,classical_pancreatic_progenitor,ENSG00000066405.13,True,1708,-2.4105170635772
BIRC5,proliferation_cell_cycle_apoptosis,ENSG00000089685.15,True,1989,2.3120843412725924
PLAU,stroma_ecm_invasion,ENSG00000122861.16,True,2069,2.281321920120195
PDCD1,immune_inflammation_tgf_beta,ENSG00000188389.11,True,2099,-2.2698245008713323
ERCC1,dna_damage_repair_therapy,ENSG00000012061.16,True,2147,-2.2560194674019756
S100A2,basal_squamous_mesenchymal,ENSG00000196754.13,True,2336,2.20154803685873
CCR2,immune_inflammation_tgf_beta,ENSG00000121807.6,True,2463,-2.1664533971847604
PLK1,proliferation_cell_cycle_apoptosis,ENSG00000166851.15,True,2477,2.1634151609946835
RAD51,dna_damage_repair_therapy,ENSG00000051180.17,True,2510,2.1545899916908557
MCM2,proliferation_cell_cycle_apoptosis,ENSG00000073111.14,True,2547,2.149026802355908
HNF4A,classical_pancreatic_progenitor,ENSG00000101076.17,True,2663,-2.1159782198794472
LOX,stroma_ecm_invasion,ENSG00000113083.15,True,2670,2.114713614562938
CDK2,proliferation_cell_cycle_apoptosis,ENSG00000123374.11,True,2691,2.1093030360314033
AGR2,classical_pancreatic_progenitor,ENSG00000106541.12,True,2793,-2.088861578996466
CDH2,basal_squamous_mesenchymal,ENSG00000170558.10,True,2818,2.083573906632371
CA9,hypoxia_metabolism_acinar_program,ENSG00000107159.13,True,2932,2.056528392750595
CXCR4,immune_inflammation_tgf_beta,ENSG00000121966.7,True,3005,-2.038522002662598
MKI67,proliferation_cell_cycle_apoptosis,ENSG00000148773.14,True,3044,2.029459460736784
HIF1A,hypoxia_metabolism_acinar_program,ENSG00000100644.17,True,3177,1.9972109539133838
COL6A3,stroma_ecm_invasion,ENSG00000163359.16,True,3191,1.9937542622565896
CD8B,immune_inflammation_tgf_beta,ENSG00000172116.23,True,3220,-1.9872472584992855
SLC2A1,hypoxia_metabolism_acinar_program,ENSG00000117394.24,True,3374,1.953160811961341
ITGB4,stroma_ecm_invasion,ENSG00000132470.14,True,3431,1.937672059208001
KRT19,classical_pancreatic_progenitor,ENSG00000171345.13,True,3533,1.9131977560699602
KRT6A,basal_squamous_mesenchymal,ENSG00000205420.11,True,3543,1.9114435051871987
POSTN,stroma_ecm_invasion,ENSG00000133110.15,True,3575,1.905598674559589
CD8A,immune_inflammation_tgf_beta,ENSG00000153563.16,True,3814,-1.8531339448553321
LAMC2,basal_squamous_mesenchymal,ENSG00000058085.15,True,3839,1.8497196431463343
STK11,core_driver_tumor_suppressor,ENSG00000118046.16,True,3883,-1.8415520981642608
FN1,stroma_ecm_invasion,ENSG00000115414.21,True,3995,1.8185519131915848
MMP14,stroma_ecm_invasion,ENSG00000157227.13,True,4162,1.7871463143908233
CXCL8,immune_inflammation_tgf_beta,ENSG00000169429.11,True,4337,1.7550078307703283
RNF43,core_driver_tumor_suppressor,ENSG00000108375.13,True,4388,-1.745761311819716
ATR,dna_damage_repair_therapy,ENSG00000175054.16,True,4678,1.6925780376167248
KRAS,core_driver_tumor_suppressor,ENSG00000133703.13,True,4929,1.6470272395116297
FAP,stroma_ecm_invasion,ENSG00000078098.14,True,4994,1.6345892636554242
TFF1,classical_pancreatic_progenitor,ENSG00000160182.3,True,5097,-1.6161378354181302
SERPINB3,basal_squamous_mesenchymal,ENSG00000057149.16,True,5453,1.5548072168804459
SERPINB4,basal_squamous_mesenchymal,ENSG00000206073.11,True,5525,1.5416403451264824
PNLIP,hypoxia_metabolism_acinar_program,ENSG00000175535.6,True,5572,1.534961851331623
COL1A2,stroma_ecm_invasion,ENSG00000164692.18,True,5661,1.5202178301526372
CCNE1,proliferation_cell_cycle_apoptosis,ENSG00000105173.14,True,5674,1.518899552992523
COL5A2,stroma_ecm_invasion,ENSG00000204262.14,True,5789,1.50219195102912
TFF2,classical_pancreatic_progenitor,ENSG00000160181.9,True,5819,-1.4971191138320197
CPB1,hypoxia_metabolism_acinar_program,ENSG00000153002.12,True,5876,1.4889372807546597
HNF1A,classical_pancreatic_progenitor,ENSG00000135100.18,True,6058,-1.4637760863361993
COL3A1,stroma_ecm_invasion,ENSG00000168542.16,True,6141,1.4497250368624228
FOXA2,classical_pancreatic_progenitor,ENSG00000125798.15,True,6219,-1.4352444782310323
CPA1,hypoxia_metabolism_acinar_program,ENSG00000091704.10,True,6411,1.4035671618097965
