gene_symbol,category,gene_id,available,cox_rank,meta_cox_z
MSH6,dna_damage_repair_therapy,ENSG00000116062.17,True,12,4.238651985880336
LYZ,immune_inflammation_tgf_beta,ENSG00000090382.7,True,94,-3.40390050323323
MCM6,proliferation_cell_cycle_apoptosis,ENSG00000076003.5,True,167,3.1907038947527817
GATA6,classical_pancreatic_progenitor,ENSG00000141448.11,True,211,-3.1114429982041134
CLDN18,classical_pancreatic_progenitor,ENSG00000066405.13,True,248,-3.0511424535363876
CHEK1,dna_damage_repair_therapy,ENSG00000149554.13,True,315,2.9469529058804036
IL6R,immune_inflammation_tgf_beta,ENSG00000160712.13,True,317,-2.9448162712253105
PIK3CA,core_driver_tumor_suppressor,ENSG00000121879.6,True,446,2.8056148831842234
HNF1A,classical_pancreatic_progenitor,ENSG00000135100.18,True,537,-2.72740654243951
TGFB2,immune_inflammation_tgf_beta,ENSG00000092969.12,True,542,2.719906825628553
CD3D,immune_inflammation_tgf_beta,ENSG00000167286.10,True,556,-2.711221990059539
HNF4A,classical_pancreatic_progenitor,ENSG00000101076.17,True,592,-2.693894567098607
PDX1,classical_pancreatic_progenitor,ENSG00000139515.6,True,643,-2.665995395834341
CDK2,proliferation_cell_cycle_apoptosis,ENSG00000123374.11,True,666,2.6517266619372717
SNAI2,basal_squamous_mesenchymal,ENSG00000019549.13,True,682,2.645541876605369
CCR2,immune_inflammation_tgf_beta,ENSG00000121807.6,True,776,-2.582166659140438
PCNA,proliferation_cell_cycle_apoptosis,ENSG00000132646.11,True,945,2.4848856844374434
ITGB1,stroma_ecm_invasion,ENSG00000150093.20,True,955,2.478708941066341
POSTN,stroma_ecm_invasion,ENSG00000133110.15,True,957,2.4780171669661364
STK11,core_driver_tumor_suppressor,ENSG00000118046.16,True,1044,-2.43163940671818
LDHA,hypoxia_metabolism_acinar_program,ENSG00000134333.14,True,1045,2.430953646915324
COL6A3,stroma_ecm_invasion,ENSG00000163359.16,True,1196,2.363348167829544
CXCL8,immune_inflammation_tgf_beta,ENSG00000169429.11,True,1350,2.2978769825191496
CD3E,immune_inflammation_tgf_beta,ENSG00000198851.10,True,1363,-2.2943009385439637
MSH2,dna_damage_repair_therapy,ENSG00000095002.15,True,1375,2.289768866137088
SMAD4,core_driver_tumor_suppressor,ENSG00000141646.14,True,1475,2.256429468122719
ERCC1,dna_damage_repair_therapy,ENSG00000012061.16,True,1583,-2.2144509199668154
