gene_id,gene_symbol
ENSG00000124882.4,EREG
ENSG00000115902.11,SLC1A4
ENSG00000115008.6,IL1A
ENSG00000176390.12,CRLF3
ENSG00000132329.11,RAMP1
ENSG00000136810.13,TXN
ENSG00000087253.13,LPCAT2
ENSG00000180263.14,FGD6
ENSG00000151276.23,MAGI1
ENSG00000166866.13,MYO1A
ENSG00000188959.9,C9orf152
ENSG00000131781.13,FMO5
ENSG00000137965.11,IFI44
ENSG00000135930.14,EIF4E2
ENSG00000171345.13,KRT19
ENSG00000078674.18,PCM1
ENSG00000102043.16,MTMR8
ENSG00000172765.17,TMCC1
ENSG00000160710.17,ADAR
ENSG00000164283.13,ESM1
ENSG00000104888.10,SLC17A7
ENSG00000100564.9,PIGH
ENSG00000108641.19,B9D1
ENSG00000178821.13,TMEM52
ENSG00000104635.15,SLC39A14
ENSG00000116679.16,IVNS1ABP
ENSG00000115762.16,PLEKHB2
ENSG00000016391.11,CHDH
ENSG00000163754.18,GYG1
ENSG00000072571.20,HMMR
ENSG00000111145.8,ELK3
ENSG00000121361.5,KCNJ8
ENSG00000167741.11,GGT6
ENSG00000100307.13,CBX7
ENSG00000140937.14,CDH11
ENSG00000007384.15,RHBDF1
ENSG00000111674.9,ENO2
ENSG00000113303.12,BTNL8
ENSG00000118689.15,FOXO3
ENSG00000170175.11,CHRNB1
ENSG00000196776.17,CD47
ENSG00000137486.17,ARRB1
ENSG00000107223.13,EDF1
ENSG00000249853.8,HS3ST5
ENSG00000130675.15,MNX1
ENSG00000121691.7,CAT
ENSG00000011465.18,DCN
ENSG00000135773.13,CAPN9
ENSG00000165443.12,PHYHIPL
ENSG00000086696.11,HSD17B2
ENSG00000171310.11,CHST11
ENSG00000153827.14,TRIP12
ENSG00000153347.10,FAM81B
ENSG00000171794.4,UTF1
ENSG00000010438.17,PRSS3
ENSG00000138594.14,TMOD3
ENSG00000012061.16,ERCC1
ENSG00000085871.9,MGST2
ENSG00000006453.14,BAIAP2L1
ENSG00000164588.8,HCN1
ENSG00000088926.14,F11
ENSG00000188389.11,PDCD1
ENSG00000102384.13,CENPI
ENSG00000156026.14,MCU
ENSG00000112742.10,TTK
ENSG00000163631.17,ALB
ENSG00000131910.5,NR0B2
ENSG00000126709.15,IFI6
ENSG00000148053.17,NTRK2
ENSG00000150593.18,PDCD4
ENSG00000113368.12,LMNB1
ENSG00000254087.8,LYN
ENSG00000106069.23,CHN2
ENSG00000184436.12,THAP7
ENSG00000101457.13,DNTTIP1
ENSG00000127220.6,ABHD8
ENSG00000113578.18,FGF1
ENSG00000006042.12,TMEM98
ENSG00000106799.13,TGFBR1
ENSG00000196188.12,CTSE
ENSG00000052841.15,TTC17
ENSG00000175984.15,DENND2C
ENSG00000123612.16,ACVR1C
ENSG00000143507.18,DUSP10
ENSG00000060709.15,RIMBP2
ENSG00000258818.4,RNASE4
ENSG00000169679.15,BUB1
ENSG00000126259.20,KIRREL2
ENSG00000102575.13,ACP5
ENSG00000057593.14,F7
ENSG00000126218.12,F10
ENSG00000138639.18,ARHGAP24
ENSG00000176490.5,DIRAS1
ENSG00000175592.9,FOSL1
ENSG00000213923.13,CSNK1E
ENSG00000047457.14,CP
ENSG00000171877.21,FRMD5
ENSG00000105290.13,APLP1
ENSG00000215704.10,CELA2B
ENSG00000163251.4,FZD5
ENSG00000122641.11,INHBA
ENSG00000205629.12,LCMT1
ENSG00000179085.8,DPM3
ENSG00000158516.12,CPA2
ENSG00000079689.14,SCGN
ENSG00000104679.12,R3HCC1
ENSG00000196586.16,MYO6
ENSG00000123130.17,ACOT9
ENSG00000168216.13,LMBRD1
ENSG00000148660.20,CAMK2G
ENSG00000133110.15,POSTN
ENSG00000074657.14,ZNF532
ENSG00000158201.10,ABHD3
ENSG00000171812.13,COL8A2
ENSG00000166831.9,RBPMS2
ENSG00000152056.17,AP1S3
ENSG00000111404.7,RERGL
ENSG00000168952.15,STXBP6
ENSG00000112874.10,NUDT12
ENSG00000106789.13,CORO2A
ENSG00000198792.13,TMEM184B
ENSG00000185024.17,BRF1
ENSG00000046653.15,GPM6B
ENSG00000145287.11,PLAC8
ENSG00000116815.16,CD58
ENSG00000172346.15,CSDC2
ENSG00000120549.18,KIAA1217
ENSG00000034510.6,TMSB10
ENSG00000100321.15,SYNGR1
ENSG00000196639.7,HRH1
ENSG00000162591.16,MEGF6
ENSG00000063046.18,EIF4B
ENSG00000257594.4,GALNT4
ENSG00000138271.6,GPR87
ENSG00000204618.8,RNF39
ENSG00000161270.20,NPHS1
ENSG00000006747.15,SCIN
ENSG00000145703.16,IQGAP2
ENSG00000077264.15,PAK3
ENSG00000164823.11,OSGIN2
ENSG00000011347.10,SYT7
ENSG00000108309.14,RUNDC3A
ENSG00000103855.18,CD276
ENSG00000196878.15,LAMB3
ENSG00000135318.12,NT5E
ENSG00000177700.6,POLR2L
ENSG00000161649.13,CD300LG
ENSG00000174502.19,SLC26A9
ENSG00000103494.15,RPGRIP1L
ENSG00000182224.12,CYB5D1
ENSG00000165113.13,GKAP1
ENSG00000141905.19,NFIC
ENSG00000174951.11,FUT1
ENSG00000183092.16,BEGAIN
ENSG00000113739.10,STC2
ENSG00000130413.15,STK33
ENSG00000171819.5,ANGPTL7
ENSG00000149311.19,ATM
ENSG00000112893.9,MAN2A1
ENSG00000110723.12,EXPH5
ENSG00000164237.9,CMBL
ENSG00000103642.12,LACTB
ENSG00000175084.12,DES
ENSG00000171346.16,KRT15
ENSG00000245848.3,CEBPA
ENSG00000241935.9,HOGA1
ENSG00000181019.13,NQO1
ENSG00000142484.7,TM4SF5
ENSG00000138161.14,CUZD1
ENSG00000129128.13,SPCS3
ENSG00000103150.7,MLYCD
ENSG00000115590.14,IL1R2
ENSG00000141646.14,SMAD4
ENSG00000154102.11,C16orf74
ENSG00000104312.8,RIPK2
ENSG00000142230.13,SAE1
ENSG00000171791.14,BCL2
ENSG00000112855.17,HARS2
ENSG00000172016.16,REG3A
ENSG00000197157.11,SND1
ENSG00000083782.8,EPYC
ENSG00000141627.14,DYM
ENSG00000197275.14,RAD54B
ENSG00000164144.16,ARFIP1
ENSG00000166347.19,CYB5A
ENSG00000118507.17,AKAP7
ENSG00000151690.15,MFSD6
ENSG00000153214.11,TMEM87B
ENSG00000171552.14,BCL2L1
ENSG00000105514.8,RAB3D
ENSG00000143801.18,PSEN2
ENSG00000070501.12,POLB
ENSG00000164742.16,ADCY1
ENSG00000189143.9,CLDN4
ENSG00000124813.23,RUNX2
ENSG00000112877.8,CEP72
ENSG00000139292.13,LGR5
ENSG00000166441.13,RPL27A
ENSG00000167434.10,CA4
ENSG00000166913.13,YWHAB
ENSG00000140519.14,RHCG
ENSG00000115415.20,STAT1
ENSG00000137959.16,IFI44L
ENSG00000005187.12,ACSM3
ENSG00000162849.16,KIF26B
ENSG00000131626.19,PPFIA1
ENSG00000132334.17,PTPRE
ENSG00000186998.16,EMID1
ENSG00000100722.20,ZC3H14
ENSG00000169245.6,CXCL10
ENSG00000185818.8,NAT8L
ENSG00000133392.18,MYH11
ENSG00000165046.13,LETM2
ENSG00000137731.14,FXYD2
ENSG00000013583.10,HEBP1
ENSG00000135750.15,KCNK1
ENSG00000185499.16,MUC1
ENSG00000103671.10,TRIP4
ENSG00000130988.13,RGN
ENSG00000157483.9,MYO1E
ENSG00000120539.15,MASTL
ENSG00000197713.15,RPE
ENSG00000013810.20,TACC3
ENSG00000135090.14,TAOK3
ENSG00000040531.16,CTNS
ENSG00000172554.12,SNTG2
ENSG00000163359.16,COL6A3
ENSG00000102034.17,ELF4
ENSG00000184220.12,CMSS1
ENSG00000124216.4,SNAI1
ENSG00000162545.6,CAMK2N1
ENSG00000117543.21,DPH5
ENSG00000156970.13,BUB1B
ENSG00000164305.19,CASP3
ENSG00000183049.13,CAMK1D
ENSG00000153786.13,ZDHHC7
ENSG00000083520.15,DIS3
ENSG00000167077.13,MEI1
ENSG00000119125.17,GDA
ENSG00000114030.13,KPNA1
ENSG00000077238.14,IL4R
ENSG00000167220.12,HDHD2
ENSG00000186767.7,SPIN4
ENSG00000134321.12,RSAD2
ENSG00000100312.11,ACR
ENSG00000137845.15,ADAM10
