rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,meta_cox_z,meta_cox_p,direction
1,ENSG00000234560.4,91,50,6.519212310369438,7.067755597494129e-11,6.519212310369438,7.06775559749409e-11,higher_expr_higher_risk
2,ENSG00000215545.1,91,50,6.519212309716876,7.067755628239266e-11,6.519212309716876,7.067755628239275e-11,higher_expr_higher_risk
3,ENSG00000118491.10,91,50,6.315188162412668,2.698329641970797e-10,6.315188162412668,2.6983296419707875e-10,higher_expr_higher_risk
4,ENSG00000197123.9,91,50,5.97521895931372,2.2978134770514044e-09,5.97521895931372,2.297813477051398e-09,higher_expr_higher_risk
5,ENSG00000155495.9,91,50,5.923975228204466,3.142508146852628e-09,5.923975228204466,3.1425081468526274e-09,higher_expr_higher_risk
6,ENSG00000282815.1,91,50,5.390840087883579,7.012906031945618e-08,5.390840087883579,7.012906031945614e-08,higher_expr_higher_risk
7,ENSG00000253548.1,91,50,5.239661281692622,1.6087159729285162e-07,5.239661281692622,1.6087159729285154e-07,higher_expr_higher_risk
8,ENSG00000184735.7,91,50,5.150102603366391,2.603439970012868e-07,5.150102603366391,2.6034399700128575e-07,higher_expr_higher_risk
9,ENSG00000133321.11,91,50,4.754674019159229,1.9876687008364967e-06,4.754674019159229,1.9876687008364976e-06,higher_expr_higher_risk
10,ENSG00000068985.5,91,50,4.709372381666943,2.484807356199637e-06,4.709372381666943,2.484807356199634e-06,higher_expr_higher_risk
11,ENSG00000166589.13,91,50,4.701797922222305,2.5788065234855725e-06,4.701797922222305,2.5788065234855704e-06,higher_expr_higher_risk
12,ENSG00000126233.2,91,50,4.48969778488143,7.132429447173078e-06,4.48969778488143,7.13242944717307e-06,higher_expr_higher_risk
13,ENSG00000173157.17,91,50,4.4819184258750155,7.397502163530517e-06,4.4819184258750155,7.3975021635304995e-06,higher_expr_higher_risk
14,ENSG00000131059.12,91,50,4.460048434120168,8.194113303808582e-06,4.460048434120168,8.194113303808577e-06,higher_expr_higher_risk
