gene_symbol,category,gene_id,available,cox_rank,meta_cox_z
LDHA,hypoxia_metabolism_acinar_program,ENSG00000134333.14,True,44,3.9074378305217192
MET,stroma_ecm_invasion,ENSG00000105976.16,True,65,3.6475735728874046
CDK1,proliferation_cell_cycle_apoptosis,ENSG00000170312.16,True,180,3.2111995510127973
IL6R,immune_inflammation_tgf_beta,ENSG00000160712.13,True,342,-2.914800459042304
KRT6A,basal_squamous_mesenchymal,ENSG00000205420.11,True,381,2.868550381564343
KRT19,classical_pancreatic_progenitor,ENSG00000171345.13,True,382,2.867539502595671
ITGA3,stroma_ecm_invasion,ENSG00000005884.18,True,384,2.8635439993151666
PLAU,stroma_ecm_invasion,ENSG00000122861.16,True,401,2.8405443335208496
S100A2,basal_squamous_mesenchymal,ENSG00000196754.13,True,405,2.836600412453893
CCNB1,proliferation_cell_cycle_apoptosis,ENSG00000134057.15,True,451,2.7802411591299943
CHEK1,dna_damage_repair_therapy,ENSG00000149554.13,True,599,2.663611192634401
TOP2A,proliferation_cell_cycle_apoptosis,ENSG00000131747.15,True,693,2.588618230396281
LAMC2,basal_squamous_mesenchymal,ENSG00000058085.15,True,751,2.556862905311852
AURKA,proliferation_cell_cycle_apoptosis,ENSG00000087586.18,True,842,2.510040367849271
ENO1,hypoxia_metabolism_acinar_program,ENSG00000074800.16,True,970,2.4388204811485936
RAD51,dna_damage_repair_therapy,ENSG00000051180.17,True,1068,2.394144696583945
ARID1A,core_driver_tumor_suppressor,ENSG00000117713.20,True,1276,-2.2977058290305035
CD274,immune_inflammation_tgf_beta,ENSG00000120217.14,True,1278,2.297389042207273
BCL2,proliferation_cell_cycle_apoptosis,ENSG00000171791.14,True,1421,-2.2395787815403825
MKI67,proliferation_cell_cycle_apoptosis,ENSG00000148773.14,True,1437,2.234811457336645
SLC2A1,hypoxia_metabolism_acinar_program,ENSG00000117394.24,True,1465,2.2270540350316823
PCNA,proliferation_cell_cycle_apoptosis,ENSG00000132646.11,True,1468,2.226848510713024
S100A4,basal_squamous_mesenchymal,ENSG00000196154.12,True,1534,2.2014217765025292
SNAI2,basal_squamous_mesenchymal,ENSG00000019549.13,True,1773,2.1153948391741895
KLF5,basal_squamous_mesenchymal,ENSG00000102554.14,True,1774,2.1153785910653164
CDH2,basal_squamous_mesenchymal,ENSG00000170558.10,True,1789,2.1111591692510587
MCM4,proliferation_cell_cycle_apoptosis,ENSG00000104738.18,True,1873,2.0848200975293842
ERCC1,dna_damage_repair_therapy,ENSG00000012061.16,True,2040,2.028001187092888
BIRC5,proliferation_cell_cycle_apoptosis,ENSG00000089685.15,True,2090,2.011156134540945
KRAS,core_driver_tumor_suppressor,ENSG00000133703.13,True,2158,1.9905104287919688
LYZ,immune_inflammation_tgf_beta,ENSG00000090382.7,True,2241,-1.9666669658456828
SERPINB3,basal_squamous_mesenchymal,ENSG00000057149.16,True,2325,1.9432085084026536
PLAUR,stroma_ecm_invasion,ENSG00000011422.12,True,2346,1.9377236824318385
KRT14,basal_squamous_mesenchymal,ENSG00000186847.6,True,2416,1.920831037514993
CCL2,immune_inflammation_tgf_beta,ENSG00000108691.9,True,3014,-1.7858002782895641
ITGA2,stroma_ecm_invasion,ENSG00000164171.11,True,3184,1.7571115240173705
CA9,hypoxia_metabolism_acinar_program,ENSG00000107159.13,True,3434,1.7045019500325802
KRT81,basal_squamous_mesenchymal,ENSG00000205426.10,True,3447,1.7024424863075573
MMP11,stroma_ecm_invasion,ENSG00000099953.10,True,3551,1.6819191337540955
PLK1,proliferation_cell_cycle_apoptosis,ENSG00000166851.15,True,3564,1.6787198080253616
CXCL12,immune_inflammation_tgf_beta,ENSG00000107562.16,True,3574,-1.677155017910004
MSH2,dna_damage_repair_therapy,ENSG00000095002.15,True,3812,1.6355993413665275
BRAF,core_driver_tumor_suppressor,ENSG00000157764.14,True,3921,-1.6182899787922926
VEGFA,hypoxia_metabolism_acinar_program,ENSG00000112715.25,True,4211,1.5671466524116615
RNF43,core_driver_tumor_suppressor,ENSG00000108375.13,True,4316,-1.5520882515264995
ATM,dna_damage_repair_therapy,ENSG00000149311.19,True,4436,-1.532501571218162
HK2,hypoxia_metabolism_acinar_program,ENSG00000159399.10,True,4544,1.514561990719327
BAX,proliferation_cell_cycle_apoptosis,ENSG00000087088.20,True,4699,1.4894824970988214
CCNE1,proliferation_cell_cycle_apoptosis,ENSG00000105173.14,True,4839,1.4719771264450123
TWIST1,basal_squamous_mesenchymal,ENSG00000122691.13,True,5252,1.4102867222383555
SMAD4,core_driver_tumor_suppressor,ENSG00000141646.14,True,5253,-1.4102109640122316
LOX,stroma_ecm_invasion,ENSG00000113083.15,True,5324,1.3999862279420217
AURKB,proliferation_cell_cycle_apoptosis,ENSG00000178999.13,True,5383,1.3917904100531537
ITGB4,stroma_ecm_invasion,ENSG00000132470.14,True,5460,1.3844940817324072
VIM,basal_squamous_mesenchymal,ENSG00000026025.16,True,5540,1.3742855270692562
MUC1,classical_pancreatic_progenitor,ENSG00000185499.16,True,5694,1.353302087313368
KRT17,basal_squamous_mesenchymal,ENSG00000128422.17,True,5706,1.35067196631767
ATR,dna_damage_repair_therapy,ENSG00000175054.16,True,5820,1.33466267063437
FOXA2,classical_pancreatic_progenitor,ENSG00000125798.15,True,5851,-1.330011014119321
MMP7,stroma_ecm_invasion,ENSG00000137673.9,True,5871,1.327526215006672
CLDN4,classical_pancreatic_progenitor,ENSG00000189143.9,True,5951,1.3180432783780125
ITGA6,basal_squamous_mesenchymal,ENSG00000091409.15,True,6102,1.298881863632493
PALB2,dna_damage_repair_therapy,ENSG00000083093.10,True,6448,1.2557744184492377
KRT5,basal_squamous_mesenchymal,ENSG00000186081.12,True,6450,1.2557363310362115
BRCA1,dna_damage_repair_therapy,ENSG00000012048.23,True,7230,1.1616515682872461
PDX1,classical_pancreatic_progenitor,ENSG00000139515.6,True,7377,-1.1443597531005227
LUM,stroma_ecm_invasion,ENSG00000139329.5,True,7466,1.1347769837888086
CCR2,immune_inflammation_tgf_beta,ENSG00000121807.6,True,7590,-1.121574245863746
FOXP3,immune_inflammation_tgf_beta,ENSG00000049768.16,True,7963,-1.0811396158367945
STAT3,immune_inflammation_tgf_beta,ENSG00000168610.16,True,8349,-1.040305730752219
MMP14,stroma_ecm_invasion,ENSG00000157227.13,True,8382,1.0364541761435173
CD3E,immune_inflammation_tgf_beta,ENSG00000198851.10,True,8427,-1.0310433687079836
GATA6,classical_pancreatic_progenitor,ENSG00000141448.11,True,8668,-1.0044965941370585
CCND1,proliferation_cell_cycle_apoptosis,ENSG00000110092.4,True,8723,0.9992375121107189
MLH1,dna_damage_repair_therapy,ENSG00000076242.16,True,8740,-0.997929612298919
CLDN18,classical_pancreatic_progenitor,ENSG00000066405.13,True,8890,-0.9831183989049109
FN1,stroma_ecm_invasion,ENSG00000115414.21,True,9018,0.9686339486969788
SERPINB4,basal_squamous_mesenchymal,ENSG00000206073.11,True,9354,0.93080816047516
COL5A2,stroma_ecm_invasion,ENSG00000204262.14,True,9621,0.9044521304222808
CDH1,classical_pancreatic_progenitor,ENSG00000039068.19,True,9692,0.8986644243851695
PDCD1,immune_inflammation_tgf_beta,ENSG00000188389.11,True,10114,-0.8558842878484535
